line_id,n,ngram,count,start,middle,end
833,3,ria,499,1,1,1
834,3,pla,499,1,1,1
835,3,nne,498,1,1,1
836,3,ett,498,1,1,1
837,3,mis,496,1,1,1
838,3,war,496,1,1,0
839,3,nkt,494,1,1,1
840,3,reg,492,1,1,1
841,3,tik,491,1,1,1
842,3,geb,489,1,1,1
843,3,tet,489,1,1,1
844,3,rma,488,1,1,1
845,3,sit,488,1,1,1
846,3,lli,487,1,1,1
847,3,kei,487,1,1,1
848,3,nsp,486,1,1,1
849,3,nsi,486,1,1,1
850,3,bei,486,1,1,1
851,3,ndi,486,0,1,1
852,3,kro,474,1,1,1
853,3,fah,474,1,1,0
854,3,abl,473,1,1,1
855,3,ssp,473,1,1,1
856,3,atr,471,1,1,1
857,3,ord,469,1,1,1
858,3,tar,468,1,1,1
859,3,eni,467,1,1,1
860,3,ill,466,1,1,1
861,3,esc,465,1,1,1
862,3,erm,462,1,1,1
863,3,kra,462,1,1,1
864,3,han,460,1,1,1
865,3,rit,459,1,1,1
866,3,zia,459,1,1,1
867,3,rom,457,1,1,1
868,3,bes,454,1,1,1
869,3,orm,453,0,1,1
870,3,ukt,452,0,1,1
871,3,abr,452,1,1,1
872,3,min,452,1,1,1
873,3,ros,451,1,1,1
874,3,erl,451,1,1,1
875,3,kle,450,1,1,1
876,3,ffe,445,1,1,1
877,3,nse,444,1,1,1
878,3,etz,442,1,1,1
879,3,ehe,442,1,1,1
880,3,san,442,1,1,1
881,3,kat,442,1,1,1
882,3,ram,442,1,1,1
883,3,ric,440,1,1,1
884,3,adr,440,1,1,1
885,3,gie,439,1,1,1
886,3,tüc,438,1,1,1
887,3,erd,438,1,1,1
888,3,mus,438,1,1,1
889,3,ame,438,1,1,1
890,3,nds,437,1,1,1
891,3,mie,437,1,1,1
892,3,bra,436,1,1,1
893,3,ose,436,1,1,1
894,3,edi,436,1,1,1
895,3,ili,434,1,1,1
896,3,erh,434,1,1,1
897,3,nit,434,1,1,1
898,3,mar,434,1,1,1
899,3,ade,433,1,1,1
900,3,sau,432,1,1,1
901,3,aue,429,1,1,1
902,3,zer,428,1,1,1
903,3,omm,426,0,1,0
904,3,ink,426,1,1,1
905,3,pen,425,1,1,1
906,3,bel,425,1,1,1
907,3,bau,424,1,1,1
908,3,gna,424,1,1,1
909,3,spa,424,1,1,1
910,3,ruc,423,0,1,0
911,3,elt,422,1,1,1
912,3,tab,421,1,1,1
913,3,agn,421,1,1,1
